folder,final_status_v11,fp_shard,fp_verdict,fp_rationale,xv1_slice,xv1_verdict,p2_slice,p2_verdict,p2_rationale,p2_hf_evidence,i_personally_read
afmoe,composable,1,composable,Llama-style GQA attention with QK-norm + sigmoid output gate (matches Qwen3-Next pattern); shared+routed sigmoid-router ,composable,confirm_composable,,-,,,no
aimv2,composable,1,composable,"SigLIP-derived ViT vision encoder + CLIP-derived text encoder, with LlamaMLP/RMSNorm replacing the original MLP/LN. All ",,-,,-,,,no
albert,composable,1,composable,BERT-derived encoder: separate q/k/v + LayerNorm + ACT2FN MLP. Maps cleanly to encoder_attention.py + encoder_mlp.py + b,,-,,-,,,no
align,partial,1,partial,"Vision tower is EfficientNet (depthwise separable conv, batchnorm, squeeze-excite). The expansion/depthwise/SE blocks re",partial_a,confirm_partial,slice_2,confirm_partial,"All compute decomposes from existing torch and kb-nano primitives (Conv2d, BatchNorm2d, sigmoid, adaptive avg pool); onl",align/modeling_align.py:172 — class AlignVisionEmbeddings: nn.Conv2d + nn.BatchNorm2d + ACT2FN; align/modeling_align.py:225 — class AlignVisionExpansionLayer: 1x1 nn.Conv2d + nn.BatchNorm2d + activati,no
altclip,composable,1,composable,Roberta (BERT-derived) text encoder + CLIP vision encoder; both halves map to existing encoder_attention/clip_attention/,,-,,-,,,no
apertus,partial,1,unsupported,Uses xIELU activation (a learnable activation introduced in the Apertus paper) as ACT2CLS['xielu'](dtype=...). xIELU is ,partial_b,confirm_partial,slice_2,demote_to_unsupported,xIELU is a learnable parametric activation requiring custom autograd handling for the learnable alpha parameters; the fa,apertus/modular_apertus.py:117 — class ApertusMLP(NemotronMLP): up_proj/down_proj + ACT2CLS['xielu'](dtype=...); transformers/activations.py:231 — XIELUActivation with learnable alpha_p/alpha_n parame,yes
arcee,partial,1,partial,Arcee is Llama with NemotronMLP (two-layer up_proj -> activation -> down_proj). Activation is 'relu2' (squared ReLU) whi,partial_a,confirm_partial,slice_2,confirm_partial,All primitives present (linear + squared_relu); missing only the L2 wrapper class for the two-layer no-gate squared-ReLU,arcee/modular_arcee.py:67 — hidden_act: str = 'relu2'; arcee/modular_arcee.py:85 — class ArceeMLP(NemotronMLP); nemotron/modeling_nemotron.py:193 — class NemotronMLP: up_proj -> ACT2FN[hidden_act] -> ,no
aria,partial,1,partial,Aria text model is Llama + shared+routed MoE (matches shared_expert_moe). However the AriaProjector cross-attention uses,partial_b,confirm_partial,slice_2,confirm_partial,Compute decomposes from sdpa/dense_attention; gap is the nn.MultiheadAttention black-box wrapper class.,"aria/modeling_aria.py:111 — q_proj/k_proj/v_proj separate Linear; aria/modeling_aria.py:116 — self.multihead_attn = nn.MultiheadAttention(hidden_size, num_heads, batch_first=True); aria/modeling_aria.",no
audio_spectrogram_transformer,composable,1,composable,ViT-style encoder over audio mel spectrogram patches. Standard separate q/k/v + LayerNorm + GELU MLP — matches encoder_a,composable,confirm_composable,slice_8,confirm_composable,"Standard ViT-style audio encoder: query/key/value Linear projections, no causal mask, fc1+GELU+fc2 MLP, LayerNorm. Maps ","modeling_audio_spectrogram_transformer.py:129 — class ASTSelfAttention(nn.Module); modeling_audio_spectrogram_transformer.py:146 — self.query = nn.Linear(config.hidden_size, self.all_head_size, bias=c",no
audioflamingo3,composable,1,composable,Whisper encoder layers + Voxtral conditional generation pattern. AudioFlamingo3 inherits attention/encoder_layer from Wh,,-,,-,,,no
