hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
nanochat,modeling_nanochat.py,NanoChatForCausalLM;NanoChatModel;NanoChatPreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache; tanh→tasks/baseline/L1/tanh.py:Tanh",,"modeling_nanochat.py:209;modeling_nanochat.py:241;modeling_nanochat.py:396",Llama-style decoder w/ RMSNorm + RoPE + GQA; ACT2FN dynamic (default tanh-style MLP); modular DSL exists; no L4 yet but trivial to wire from llama L3.
nemotron,modeling_nemotron.py,NemotronForCausalLM;NemotronForQuestionAnswering;NemotronForSequenceClassification;NemotronForTokenClassification;NemotronModel;NemotronPreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache",,"modeling_nemotron.py:1;modeling_nemotron.py:1;modeling_nemotron.py:1",Llama-like with LayerNorm (not RMSNorm) and partial rotary. All ops covered.
nemotron_h,modeling_nemotron_h.py,NemotronHForCausalLM;NemotronHModel;NemotronHPreTrainedModel,text,hybrid,composable,"linear→tasks/baseline/L1/linear.py:Linear; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; conv1d→tasks/baseline/L1/conv1d.py:Conv1d; mamba_chunk_scan_combined+causal_conv1d→tasks/baseline/L2/mamba2_mixer.py:Mamba2Mixer (vLLM-backed); sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache; moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK","mamba_scan(mapped via mamba2 chunk_scan in L2 mamba2_mixer; passes)","modeling_nemotron_h.py:114;modeling_nemotron_h.py:352;modeling_nemotron_h.py:834",Mamba2 hybrid attention+MoE; vLLM-backed mamba2 chunk_scan kernel matches HF's mamba_chunk_scan_combined; MoE wiring composable from kb-nano grouped_topk + experts.
nllb,NO_PT_MODELING,,text,encoder-decoder,not_inference_required,,,"NO_PT_MODELING",Folder contains tokenizer/processor only; reuses parent NLLB which is BART-style.
nllb_moe,modeling_nllb_moe.py,NllbMoeDecoder;NllbMoeEncoder;NllbMoeForConditionalGeneration;NllbMoeModel;NllbMoePreTrainedModel,text,encoder-decoder-MoE,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache; encoder_decoder_cache→tasks/baseline/L4/recurrent_cache.py:RecurrentCache (semantic 2x KV cache); moe_topk(top2)→tasks/baseline/L1/grouped_topk.py:GroupedTopK","encoder_decoder_cache(composable from 2x kv_cache)","modeling_nllb_moe.py:165;modeling_nllb_moe.py:219;modeling_nllb_moe.py:49",BART-style enc-dec with top-2 MoE router; EncoderDecoderCache wrapping is composable (per pilot).
nomic_bert,modeling_nomic_bert.py,NomicBertForMaskedLM;NomicBertForSequenceClassification;NomicBertForTokenClassification;NomicBertForMultipleChoice;NomicBertForQuestionAnswering;NomicBertForPreTraining;NomicBertModel;NomicBertPreTrainedModel,text,encoder,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; tanh→tasks/baseline/L1/tanh.py:Tanh",,"modeling_nomic_bert.py:99;modeling_nomic_bert.py:226;modeling_nomic_bert.py:349",BERT-like with RoPE; supports flash_attn natively. All ops in L1.
nougat,NO_PT_MODELING,,multimodal,encoder-decoder,not_inference_required,,,"NO_PT_MODELING",Folder contains tokenizer/processor only; Nougat reuses Donut/MBart architectures.
nystromformer,modeling_nystromformer.py,NystromformerForMaskedLM;NystromformerForMultipleChoice;NystromformerForQuestionAnswering;NystromformerForSequenceClassification;NystromformerForTokenClassification;NystromformerModel;NystromformerPreTrainedModel,text,encoder,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; matmul→tasks/baseline/L1/linear.py:Matmul; softmax→tasks/baseline/L1/softmax.py:Softmax; relu→tasks/baseline/L1/relu.py:ReLU",,"modeling_nystromformer.py:102;modeling_nystromformer.py:131;modeling_nystromformer.py:283",Nystrom approximation attention via segmented matmul + small conv2d residual; all primitives in L1.
olmo,modeling_olmo.py,OlmoForCausalLM;OlmoForSequenceClassification;OlmoModel;OlmoPreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache",,"modeling_olmo.py:1;modeling_olmo.py:1;modeling_olmo.py:1",Llama-style decoder with LayerNorm (no biases). All ops in L1.
olmo2,modeling_olmo2.py,Olmo2ForCausalLM;Olmo2ForSequenceClassification;Olmo2Model;Olmo2PreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache",,"modeling_olmo2.py:1;modeling_olmo2.py:1;modeling_olmo2.py:1",Olmo with RMSNorm; all ops in L1.
olmo3,modeling_olmo3.py,Olmo3ForCausalLM;Olmo3ForSequenceClassification;Olmo3Model;Olmo3PreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache",,"modeling_olmo3.py:1;modeling_olmo3.py:1;modeling_olmo3.py:1",Olmo3 with RMSNorm + sliding window attention; mask construction via masking_utils; all ops in L1.
olmo_hybrid,modeling_olmo_hybrid.py,OlmoHybridForCausalLM;OlmoHybridModel;OlmoHybridPreTrainedModel,text,hybrid,partial,"linear→tasks/baseline/L1/linear.py:Linear; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; conv1d→tasks/baseline/L1/conv1d.py:Conv1d; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache; silu→tasks/baseline/L1/silu.py:SiLU","chunk_gated_delta_rule(no L1 wrapper for FLA gated_delta_rule kernel; kb-nano covers GLA/retention/RWKV7 via chunk_gla.py/chunk_retention.py/chunk_rwkv7.py but not gated_delta_rule)","modeling_olmo_hybrid.py:50;modeling_olmo_hybrid.py:631;modeling_olmo_hybrid.py:791",Olmo with GatedDeltaNet linear-attention layers (FLA). Causal_conv1d covered via conv1d L1 + vLLM (mamba pattern). Missing: explicit chunk_gated_delta_rule L1 wrapper.
olmoe,modeling_olmoe.py,OlmoeForCausalLM;OlmoeModel;OlmoePreTrainedModel,text,decoder-only-MoE,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache; moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK; moe_experts→tasks/baseline/L2/mixtral_moe.py",,"modeling_olmoe.py:1;modeling_olmoe.py:1;modeling_olmoe.py:1",Olmo-style decoder with topK MoE; mirrors mixtral.
omdet_turbo,modeling_omdet_turbo.py,OmDetTurboDecoder;OmDetTurboForObjectDetection;OmDetTurboPreTrainedModel,detection,encoder-decoder,composable,"linear→tasks/baseline/L1/linear.py:Linear; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; batch_norm_2d→tasks/baseline/L1/batch_norm2d.py:BatchNorm2d; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; deformable_attention→tasks/baseline/L1/rtdetrv2_deformable_attention.py:MultiScaleDeformableAttentionV2; interpolate→tasks/baseline/L1/interpolate.py:Interpolate; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention",,"modeling_omdet_turbo.py:162;modeling_omdet_turbo.py:196;modeling_omdet_turbo.py:633",RT-DETR-style hybrid encoder + open-vocab decoder. Deformable attention (v1 numerics) maps to v2 with method=default (pilot-verified bit-equivalent).
oneformer,modeling_oneformer.py,OneFormerForUniversalSegmentation;OneFormerModel;OneFormerPreTrainedModel,segmentation,detection-segmentation,composable,"linear→tasks/baseline/L1/linear.py:Linear; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; group_norm→tasks/baseline/L1/group_norm.py:GroupNorm; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; deformable_attention→tasks/baseline/L1/rtdetrv2_deformable_attention.py:MultiScaleDeformableAttentionV2; interpolate→tasks/baseline/L1/interpolate.py:Interpolate; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention","multihead_attention(nn.MultiheadAttention used in transformer decoder/text encoder; composable from sdpa+linear via L1, no kb-nano wrapper class but no missing primitive)","modeling_oneformer.py:60;modeling_oneformer.py:1672;modeling_oneformer.py:2548",Mask2Former-derivative universal seg (panoptic+instance+semantic). Deformable encoder + MaskFormer-style decoder. Uses nn.MultiheadAttention (composable from kb-nano sdpa+linear). cross_entropy training-only. new_canonical_name_needed: multihead_attention.
openai,modeling_openai.py,OpenAIGPTDoubleHeadsModel;OpenAIGPTForSequenceClassification;OpenAIGPTLMHeadModel;OpenAIGPTModel;OpenAIGPTPreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; relu→tasks/baseline/L1/relu.py:ReLU; matmul→tasks/baseline/L1/linear.py:Matmul; softmax→tasks/baseline/L1/softmax.py:Softmax",,"modeling_openai.py:46;modeling_openai.py:118;modeling_openai.py:259",Original OpenAI GPT (GPT-1) – simple decoder w/ learned position emb; all primitives in L1.
openai_privacy_filter,modeling_openai_privacy_filter.py,OpenAIPrivacyFilterForTokenClassification;OpenAIPrivacyFilterModel;OpenAIPrivacyFilterPreTrainedModel,text,encoder-MoE,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; sigmoid_topk→tasks/baseline/L1/sigmoid_topk.py:SigmoidTopK; moe_experts→tasks/baseline/L2/mixtral_moe.py",,"modeling_openai_privacy_filter.py:43;modeling_openai_privacy_filter.py:262;modeling_openai_privacy_filter.py:319",GPT-OSS-style topK-routed MoE encoder (token-classification head). All primitives in L1.
opt,modeling_opt.py,OPTDecoder;OPTForCausalLM;OPTForQuestionAnswering;OPTForSequenceClassification;OPTModel;OPTPreTrainedModel,text,decoder-only,composable,"linear→tasks/baseline/L1/linear.py:Linear; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache",,"modeling_opt.py:1;modeling_opt.py:1;modeling_opt.py:1",OPT decoder with learned position embed; all ops in L1.
ovis2,modeling_ovis2.py,Ovis2ForConditionalGeneration;Ovis2Model;Ovis2PreTrainedModel;Ovis2VisionModel,multimodal,vision-encoder+text-decoder,composable,"linear→tasks/baseline/L1/linear.py:Linear; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; embedding→tasks/baseline/L1/embedding.py:Embedding; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention",,"modeling_ovis2.py:107;modeling_ovis2.py:199;modeling_ovis2.py:273",Vision-encoder + text-decoder (delegates LLM via AutoModel). All primitives in L1.
owlv2,modeling_owlv2.py,Owlv2ForObjectDetection;Owlv2Model;Owlv2PreTrainedModel;Owlv2TextModel;Owlv2VisionModel,detection,vision-text-detection,composable,"linear→tasks/baseline/L1/linear.py:Linear; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; gelu→tasks/baseline/L1/gelu.py:GELU; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; sigmoid→tasks/baseline/L1/sigmoid.py:Sigmoid; interpolate→tasks/baseline/L1/interpolate.py:Interpolate","elu(used only as logit scale in head; nn.ELU has no L1 kernel but is trivial - new_canonical_name_needed)","modeling_owlv2.py:1017;modeling_owlv2.py:1040;modeling_owlv2.py:1065",CLIP+open-vocabulary detection head. nn.ELU used only as confidence scaling at head; not load-bearing. cross_entropy training-only.
owlvit,modeling_owlvit.py,OwlViTForObjectDetection;OwlViTModel;OwlViTPreTrainedModel;OwlViTTextModel;OwlViTVisionModel,detection,vision-text-detection,composable,"linear→tasks/baseline/L1/linear.py:Linear; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; gelu→tasks/baseline/L1/gelu.py:GELU; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; sigmoid→tasks/baseline/L1/sigmoid.py:Sigmoid; interpolate→tasks/baseline/L1/interpolate.py:Interpolate","elu(only used as logit scale in head; nn.ELU has no L1 kernel - new_canonical_name_needed)","modeling_owlvit.py:1;modeling_owlvit.py:1;modeling_owlvit.py:1",CLIP+open-vocab detection (v1). Same shape as owlv2; ELU is non-load-bearing.
paddleocr_vl,modeling_paddleocr_vl.py,PaddleOCRTextModel;PaddleOCRVLForConditionalGeneration;PaddleOCRVLModel;PaddleOCRVLPreTrainedModel;PaddleOCRVLVisionModel,multimodal,vision-encoder+text-decoder,composable,"linear→tasks/baseline/L1/linear.py:Linear; conv2d→tasks/baseline/L1/conv2d.py:Conv2d; embedding→tasks/baseline/L1/embedding.py:Embedding; layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm; rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm; rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding; sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention; kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache; interpolate→tasks/baseline/L1/interpolate.py:Interpolate",,"modeling_paddleocr_vl.py:1;modeling_paddleocr_vl.py:1;modeling_paddleocr_vl.py:1",ViT-style vision encoder + Ernie/Llama-style text decoder. Standard vision-LLM primitives.
paligemma,modeling_paligemma.py,PaliGemmaForConditionalGeneration;PaliGemmaModel;PaliGemmaPreTrainedModel,multimodal,vision-encoder+text-decoder,composable,"linear→tasks/baseline/L1/linear.py:Linear; (delegates vision_tower to AutoModel siglip-style; language_model to AutoModel gemma-style)",,"modeling_paligemma.py:91;modeling_paligemma.py:122;modeling_paligemma.py:302",Wrapper that composes a vision tower (SigLIP) + Gemma LM via AutoModel. All compute lives in the sub-models which are composable in kb-nano.
