hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
rag,rag/modeling_rag.py,RagModel;RagPreTrainedModel;RagSequenceForGeneration;RagTokenForGeneration,text,encoder-decoder-wrapper,composable,batch_matmul->tasks/baseline/L1/bmm.py:BatchMatMul,,modeling_rag.py:1524;modeling_rag.py:558;modeling_rag.py:576,Wraps generator (BART) and question encoder; itself only does logits combine via batch_matmul + log_softmax.
recurrent_gemma,recurrent_gemma/modeling_recurrent_gemma.py,RecurrentGemmaForCausalLM;RecurrentGemmaModel;RecurrentGemmaPreTrainedModel,text,hybrid (RG-LRU SSM + attention),partial,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;rotary_pos_emb->tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;tanh->tasks/baseline/L1/tanh.py:Tanh;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid;conv1d->tasks/baseline/L1/conv1d.py:Conv1d,rg_lru_scan(no kb-nano L1 RG-LRU recurrent kernel; eager torch fallback),modeling_recurrent_gemma.py:267;modeling_recurrent_gemma.py:378;modeling_recurrent_gemma.py:443,RecurrentGemmaRglru is a custom recurrent linear unit (SSM-style scan); kb-nano lacks an exact RG-LRU L1 kernel - falls back to torch eager scan. Attention path is composable.
reformer,reformer/modeling_reformer.py,ReformerForMaskedLM;ReformerForQuestionAnswering;ReformerForSequenceClassification;ReformerModel;ReformerModelWithLMHead;ReformerPreTrainedModel,text,decoder-only (LSH/local self-attention),unsupported,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;matmul->tasks/baseline/L1/linear.py:Matmul;tanh->tasks/baseline/L1/tanh.py:Tanh;dropout->tasks/baseline/L1/dropout.py:Dropout,lsh_self_attention(no kb-nano kernel for hash-bucket attention);local_self_attention(custom chunked attention without standard SDPA mapping),modeling_reformer.py:428;modeling_reformer.py:1342;modeling_reformer.py:ACT2FN['__dynamic__'],"LSHSelfAttention/LocalSelfAttention use hash-based bucketing + sort + chunk attention (modeling_reformer.py:405,1099). No kb-nano kernel; not expressible as standard SDPA."
regnet,regnet/modeling_regnet.py,RegNetForImageClassification;RegNetModel;RegNetPreTrainedModel,vision,CNN backbone,partial,linear->tasks/baseline/L1/linear.py:Linear;relu->tasks/baseline/L1/relu.py:ReLU;sigmoid->tasks/baseline/L1/sigmoid.py:Sigmoid;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d->tasks/baseline/L1/batch_norm2d.py:BatchNorm2d,adaptive_avg_pool_2d(no L1 adaptive_avg_pool_2d (torch.nn fallback)),modeling_regnet.py:345;modeling_regnet.py:47;modeling_regnet.py:ACT2FN['__dynamic__'],RegNet head uses adaptive_avg_pool_2d (no L1 kernel; torch.nn fallback per kb-nano convention).
rembert,rembert/modeling_rembert.py,RemBertForCausalLM;RemBertForMaskedLM;RemBertForMultipleChoice;RemBertForQuestionAnswering;RemBertForSequenceClassification;RemBertForTokenClassification;RemBertModel;RemBertPreTrainedModel,text,encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;tanh->tasks/baseline/L1/tanh.py:Tanh;encoder_decoder_cache->tasks/baseline/L4/recurrent_cache.py:RecurrentCache,,modeling_rembert.py:102;modeling_rembert.py:57;modeling_rembert.py:ACT2FN['__dynamic__'],BERT-like encoder; standard ops only.
resnet,resnet/modeling_resnet.py,ResNetBackbone;ResNetForImageClassification;ResNetModel;ResNetPreTrainedModel,vision,CNN backbone,partial,linear->tasks/baseline/L1/linear.py:Linear;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d->tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;max_pool_2d->tasks/baseline/L1/max_pool2d.py:MaxPool2d,adaptive_avg_pool_2d(no L1 adaptive_avg_pool_2d (torch.nn fallback)),modeling_resnet.py:332;modeling_resnet.py:44;modeling_resnet.py:ACT2FN['__dynamic__'],ResNet head uses adaptive_avg_pool_2d (no L1 kernel; torch.nn fallback).
roberta,roberta/modeling_roberta.py,RobertaForCausalLM;RobertaForMaskedLM;RobertaForMultipleChoice;RobertaForQuestionAnswering;RobertaForSequenceClassification;RobertaForTokenClassification;RobertaModel;RobertaPreTrainedModel,text,encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;tanh->tasks/baseline/L1/tanh.py:Tanh;encoder_decoder_cache->tasks/baseline/L4/recurrent_cache.py:RecurrentCache,,modeling_roberta.py:205;modeling_roberta.py:64;modeling_roberta.py:ACT2FN['__dynamic__'],BERT-like encoder; identical primitive set to BERT (pilot).
roberta_prelayernorm,roberta_prelayernorm/modeling_roberta_prelayernorm.py,RobertaPreLayerNormForCausalLM;RobertaPreLayerNormForMaskedLM;RobertaPreLayerNormForMultipleChoice;RobertaPreLayerNormForQuestionAnswering;RobertaPreLayerNormForSequenceClassification;RobertaPreLayerNormForTokenClassification;RobertaPreLayerNormModel;RobertaPreLayerNormPreTrainedModel,text,encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;tanh->tasks/baseline/L1/tanh.py:Tanh;encoder_decoder_cache->tasks/baseline/L4/recurrent_cache.py:RecurrentCache,,modeling_roberta_prelayernorm.py:203;modeling_roberta_prelayernorm.py:60;modeling_roberta_prelayernorm.py:ACT2FN['__dynamic__'],Roberta variant with pre-LayerNorm; same primitives.
roc_bert,roc_bert/modeling_roc_bert.py,RoCBertForCausalLM;RoCBertForMaskedLM;RoCBertForMultipleChoice;RoCBertForPreTraining;RoCBertForQuestionAnswering;RoCBertForSequenceClassification;RoCBertForTokenClassification;RoCBertModel;RoCBertPreTrainedModel,text,encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;tanh->tasks/baseline/L1/tanh.py:Tanh;encoder_decoder_cache->tasks/baseline/L4/recurrent_cache.py:RecurrentCache,,modeling_roc_bert.py:222;modeling_roc_bert.py:80;modeling_roc_bert.py:ACT2FN['__dynamic__'],RoCBERT (Chinese spelling robust BERT) — adds shape/pronounciation embeddings on top of BERT primitives.
roformer,roformer/modeling_roformer.py,RoFormerForCausalLM;RoFormerForMaskedLM;RoFormerForMultipleChoice;RoFormerForQuestionAnswering;RoFormerForSequenceClassification;RoFormerForTokenClassification;RoFormerModel;RoFormerPreTrainedModel,text,encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;embedding->tasks/baseline/L1/embedding.py:Embedding;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;encoder_decoder_cache->tasks/baseline/L4/recurrent_cache.py:RecurrentCache;dropout->tasks/baseline/L1/dropout.py:Dropout,,modeling_roformer.py:127;modeling_roformer.py:90;modeling_roformer.py:ACT2FN['__dynamic__'],RoFormer uses sinusoidal RoPE applied via torch ops; standard encoder otherwise.
