hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
jais2,modeling_jais2.py,Jais2Model;Jais2ForCausalLM,text,decoder-only,composable,linear→tasks/baseline/L1/linear.py:Linear;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;embedding→tasks/baseline/L1/embedding.py:Embedding,,modeling_jais2.py:50;modeling_jais2.py:142;modeling_jais2.py:204,LayerNorm-based decoder-only LLM (Jais 2). ACT2FN dynamic (silu/gelu) all in L1. ALL_ATTENTION_FUNCTIONS dispatcher covered by sdpa+flash. modular DSL.
jamba,modeling_jamba.py,JambaModel;JambaForCausalLM;JambaForSequenceClassification,text,hybrid (Mamba+Attention+MoE),composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;selective_scan→tasks/baseline/L2/mamba_mixer.py:MambaMixer;causal_conv1d→tasks/baseline/L2/mamba_mixer.py:MambaMixer;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_jamba.py:160;modeling_jamba.py:221;modeling_jamba.py:358,Hybrid Mamba-1 + Attention + MoE. selective_scan and causal_conv1d covered via vLLM imports in kb-nano L2 mamba_mixer.py (per pilot finding 7). MoE topk/expert routing maps to GroupedTopK + MoeGroupedGemm. SwiGLU via silu_and_mul.
janus,modeling_janus.py,JanusModel;JanusForConditionalGeneration;JanusVisionModel;JanusVQVAE,multimodal,VLM (vision+text+VQVAE),composable,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;group_norm→tasks/baseline/L1/group_norm.py:GroupNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate→tasks/baseline/L1/interpolate.py:Interpolate;batch_matmul→tasks/baseline/L1/bmm.py:BatchMatMul,,modeling_janus.py:157;modeling_janus.py:284;modeling_janus.py:611,Vision tower (CLIP-like) + text decoder + VQVAE. einsum at line 527 is torch builtin. GroupNorm in VQVAE blocks covered by L1.
jetmoe,modeling_jetmoe.py,JetMoeModel;JetMoeForCausalLM;JetMoeForSequenceClassification,text,decoder-only MoE,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_jetmoe.py:1;modeling_jetmoe.py:1;modeling_jetmoe.py:1,JetMoe MoE LLM. Composable from existing Mixtral/Llama building blocks. Standard ops only.
jina_embeddings_v3,modeling_jina_embeddings_v3.py,JinaEmbeddingsV3Model;JinaEmbeddingsV3For*(SeqCls/TokCls/QA/MaskedLM),text,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;embedding→tasks/baseline/L1/embedding.py:Embedding;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_jina_embeddings_v3.py:1;modeling_jina_embeddings_v3.py:1;modeling_jina_embeddings_v3.py:1,XLM-RoBERTa-style encoder with RoPE. All ops covered by L1.
kosmos2,modeling_kosmos2.py,Kosmos2Model;Kosmos2ForConditionalGeneration;Kosmos2VisionModel;Kosmos2TextModel,multimodal,vision-encoder + text-decoder,composable,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;encoder_decoder_cache→tasks/baseline/L4/recurrent_cache.py:RecurrentCache;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;interpolate→tasks/baseline/L1/interpolate.py:Interpolate,,modeling_kosmos2.py:262;modeling_kosmos2.py:443;modeling_kosmos2.py:1033,CLIP-style vision tower + decoder text. EncoderDecoderCache composable per pilot finding 1. Sinusoidal pos embed is init-time.
kosmos2_5,modeling_kosmos2_5.py,Kosmos2_5Model;Kosmos2_5ForConditionalGeneration;Kosmos2_5VisionEncoder;Kosmos2_5TextModel,multimodal,vision-encoder + text-decoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;embedding→tasks/baseline/L1/embedding.py:Embedding,,modeling_kosmos2_5.py:419;modeling_kosmos2_5.py:451;modeling_kosmos2_5.py:773,Pix2Struct-style vision encoder (Linear patch projection at line 419) + text decoder. No conv layers. Custom Kosmos2_5LayerNorm = RMSNorm form (line 388).
kyutai_speech_to_text,modeling_kyutai_speech_to_text.py,KyutaiSpeechToTextModel;KyutaiSpeechToTextForConditionalGeneration,audio,decoder-only ASR,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;silu_and_mul→tasks/baseline/L1/silu_and_mul.py:SiluAndMul,,modeling_kyutai_speech_to_text.py:1;modeling_kyutai_speech_to_text.py:1;modeling_kyutai_speech_to_text.py:1,Moshi-derived ASR using sliding-window mask (HF mask helper not a kernel). Standard decoder ops.
laguna,modeling_laguna.py,LagunaModel;LagunaForCausalLM,text,decoder-only MoE,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,modeling_laguna.py:153;modeling_laguna.py:356;modeling_laguna.py:393,Mixtral-style MoE with sliding-window mask. All ops in L1. modular DSL.
lasr,modeling_lasr.py,LasrEncoder;LasrForCTC,audio,Conformer-style encoder,partial,linear→tasks/baseline/L1/linear.py:Linear;conv1d→tasks/baseline/L1/conv1d.py:Conv1d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;relu→tasks/baseline/L1/relu.py:ReLU,batch_norm_1d(no L1 kernel; nn.BatchNorm1d via torch fallback in convolution module),modeling_lasr.py:299;modeling_lasr.py:287;modeling_lasr.py:222,Conformer-style speech encoder with CTC head. Inference path uses nn.BatchNorm1d (line 299) inside the conv module — no kb-nano L1 kernel. CTC loss is training-only. nn.functional.glu used inside conv module (passthrough).
layoutlm,modeling_layoutlm.py,LayoutLMModel;LayoutLMForMaskedLM;LayoutLMForSequenceClassification;LayoutLMForTokenClassification;LayoutLMForQuestionAnswering,text+layout,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;tanh→tasks/baseline/L1/tanh.py:Tanh;dropout→tasks/baseline/L1/dropout.py:Dropout,,modeling_layoutlm.py:1;modeling_layoutlm.py:1;modeling_layoutlm.py:1,BERT-derived encoder with extra 2D position embeddings. All standard encoder ops.
layoutlmv2,modeling_layoutlmv2.py,LayoutLMv2Model;LayoutLMv2For*(SeqCls/TokCls/QA),text+layout+vision,encoder + visual backbone,partial,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;avg_pool_2d→tasks/baseline/L1/avg_pool2d.py:AvgPool2d;tanh→tasks/baseline/L1/tanh.py:Tanh,adaptive_avg_pool_2d(no L1 kernel; head pool fallback to nn.AdaptiveAvgPool2d at line 508);detectron2_backbone(visual feature extractor depends on detectron2 ResNet — outside kb-nano scope),modeling_layoutlmv2.py:508;modeling_layoutlmv2.py:501;modeling_layoutlmv2.py:1,Detectron2-based visual backbone (ResNet via META_ARCH_REGISTRY) feeds visual features. The visual feature pooling uses nn.AdaptiveAvgPool2d (line 508) when deterministic-algo not enabled and nn.AvgPool2d otherwise. detectron2 dependency is outside the kernel surface but flagged for completeness.
layoutlmv3,modeling_layoutlmv3.py,LayoutLMv3Model;LayoutLMv3For*(SeqCls/TokCls/QA),text+layout+vision,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate→tasks/baseline/L1/interpolate.py:Interpolate;tanh→tasks/baseline/L1/tanh.py:Tanh,,modeling_layoutlmv3.py:1;modeling_layoutlmv3.py:1;modeling_layoutlmv3.py:1,ViT-based vision branch (Conv2d patch embed + LayerNorm) joined with text encoder. All standard ops.
