layer,file,class_name,parents,module_doc_first_line,class_doc_first_line
L1,tasks/baseline/L1/_flashmla_backend.py,,,"Resolve FlashMLA symbols from vLLM's vendored copy, falling back to",
L1,tasks/baseline/L1/adaptive_avg_pool1d.py,AdaptiveAvgPool1d,nn.Module,AdaptiveAvgPool1d wrapping F.adaptive_avg_pool1d.,
L1,tasks/baseline/L1/adaptive_avg_pool2d.py,AdaptiveAvgPool2d,nn.Module,AdaptiveAvgPool2d wrapping F.adaptive_avg_pool2d.,
L1,tasks/baseline/L1/allreduce.py,AllReduce,nn.Module,AllReduce L1 operator with custom IPC all-reduce and NCCL fallback.,
L1,tasks/baseline/L1/allreduce.py,CustomAllreduce,,AllReduce L1 operator with custom IPC all-reduce and NCCL fallback.,
L1,tasks/baseline/L1/avg_pool1d.py,AvgPool1d,nn.Module,AvgPool1d wrapping F.avg_pool1d directly.,
L1,tasks/baseline/L1/avg_pool2d.py,AvgPool2d,nn.Module,AvgPool2d wrapping F.avg_pool2d.,
L1,tasks/baseline/L1/batch_norm2d.py,BatchNorm2d,nn.Module,BatchNorm2d wrapping F.batch_norm with registered affine/running stats.,
L1,tasks/baseline/L1/bitnet_int8xint2_linear.py,BitnetInt8xInt2Gemm,nn.Module,W1.58A8 GEMM: int8 activations × packed-2-bit ternary weights.,Stateless wrapper around the W1.58A8 GEMM custom op.
L1,tasks/baseline/L1/bitnet_linear.py,BitLinear,nn.Module,BitLinear: native W1.58A8 linear layers for ``microsoft/bitnet-b1.58-2B-4T``.,W1.58A8 linear layer (single projection).
L1,tasks/baseline/L1/bitnet_linear.py,BitLinearMerged,nn.Module,BitLinear: native W1.58A8 linear layers for ``microsoft/bitnet-b1.58-2B-4T``.,W1.58A8 linear with multiple shards fused along the output dim.
L1,tasks/baseline/L1/bitnet_rms_norm.py,BitNetRMSNorm,nn.Module,BitNet-specific RMSNorm that is bit-for-bit identical to SOTA.,Drop-in for ``RMSNorm`` that matches SOTA's xformers kernel exactly.
L1,tasks/baseline/L1/bmm.py,BatchMatMul,nn.Module,Batched matrix multiply (``torch.bmm``) as an L1 primitive.,"Batched matrix multiply ``(B, N, M) @ (B, M, P) -> (B, N, P)``."
L1,tasks/baseline/L1/causal_conv1d.py,CausalConv1d,nn.Module,Depthwise causal 1D convolution (L1).,Causal depthwise 1D conv with optional SiLU activation and stateful decode.
L1,tasks/baseline/L1/chunk_gated_delta_rule.py,ChunkGatedDeltaRule,nn.Module,Chunk Gated Delta Rule — Triton-accelerated chunked kernel from FLA.,Triton chunk gated-delta-rule kernel.
L1,tasks/baseline/L1/chunk_gated_delta_rule.py,FusedRecurrentGatedDeltaRule,nn.Module,Chunk Gated Delta Rule — Triton-accelerated chunked kernel from FLA.,FLA fused-recurrent gated-delta-rule decode kernel.
L1,tasks/baseline/L1/chunk_gla.py,ChunkGLA,nn.Module,Chunk GLA — Triton-accelerated chunked prefill kernel.,Triton chunk GLA kernel.
