hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
edgetam,edgetam/modeling_edgetam.py,EdgeTamModel;EdgeTamPreTrainedModel;EdgeTamVisionModel,segmentation,vision-encoder,partial,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;gelu->tasks/baseline/L1/gelu.py:GELU;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;matmul->tasks/baseline/L1/linear.py:Matmul,conv_transpose2d (mask decoder upsamplers; no L1 kernel; torch.nn fallback per kb-nano convention),edgetam/modeling_edgetam.py:729;edgetam/modeling_edgetam.py:730;edgetam/modeling_edgetam.py:127,EdgeTamMaskDecoder uses nn.ConvTranspose2d (lines 729-730) for mask upscaling — partial via torch.nn fallback (same convention as kb-nano sam3_mask_decoder). Vision encoder + two-way attention transformer + prompt encoder are composable.
edgetam_video,edgetam_video/modeling_edgetam_video.py,EdgeTamVideoModel;EdgeTamVideoPreTrainedModel,segmentation,vision-encoder,partial,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;gelu->tasks/baseline/L1/gelu.py:GELU;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;matmul->tasks/baseline/L1/linear.py:Matmul,conv_transpose2d (mask decoder upsamplers; no L1 kernel),edgetam_video/modeling_edgetam_video.py:1793;edgetam_video/modeling_edgetam_video.py:1794;edgetam_video/modeling_edgetam_video.py:145,Video extension of edgetam with memory-fuser + memory-attention. Same mask decoder uses nn.ConvTranspose2d (1793-1794) — partial. Otherwise composable.
efficientloftr,efficientloftr/modeling_efficientloftr.py,EfficientLoFTRForKeypointMatching;EfficientLoFTRModel;EfficientLoFTRPreTrainedModel,vision,vision-encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;batch_norm_2d->tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;max_pool_2d->tasks/baseline/L1/max_pool2d.py:MaxPool2d;rotary_pos_emb->tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;softmax->tasks/baseline/L1/softmax.py:Softmax;matmul->tasks/baseline/L1/linear.py:Matmul,,efficientloftr/modeling_efficientloftr.py:91;efficientloftr/modeling_efficientloftr.py:166;efficientloftr/modeling_efficientloftr.py:643,Local-feature-matching transformer with rotary attention and a RepVGG backbone. Uses nn.functional.unfold (line 643) which is a torch builtin (passthrough). All compute primitives covered.
efficientnet,efficientnet/modeling_efficientnet.py,EfficientNetForImageClassification;EfficientNetModel;EfficientNetPreTrainedModel,vision,vision-encoder,partial,conv2d->tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d->tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;linear->tasks/baseline/L1/linear.py:Linear;avg_pool_2d->tasks/baseline/L1/avg_pool2d.py:AvgPool2d;max_pool_2d->tasks/baseline/L1/max_pool2d.py:MaxPool2d,adaptive_avg_pool_2d (squeeze-and-excite + classifier head; no L1 kernel; torch.nn fallback per kb-nano convention),efficientnet/modeling_efficientnet.py:197;efficientnet/modeling_efficientnet.py:452;efficientnet/modeling_efficientnet.py:557,EfficientNet Squeeze-and-Excite uses nn.AdaptiveAvgPool2d (line 197) — partial via torch.nn fallback (same convention as kb-nano mobilenetv4/yolov10).
electra,electra/modeling_electra.py,ElectraForCausalLM;ElectraForMaskedLM;ElectraForMultipleChoice;ElectraForPreTraining;ElectraForQuestionAnswering;ElectraForSequenceClassification;ElectraForTokenClassification;ElectraModel;ElectraPreTrainedModel,text,encoder,composable,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;matmul->tasks/baseline/L1/linear.py:Matmul;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;encoder_decoder_cache->tasks/baseline/L4/recurrent_cache.py:RecurrentCache,,electra/modeling_electra.py:507;electra/modeling_electra.py:549;electra/modeling_electra.py:1271,"BERT-style encoder with discriminator/generator heads + ForCausalLM (decoder mode uses EncoderDecoderCache, composable from 2x KV cache per pilot). ALL_ATTENTION_FUNCTIONS dispatcher."
emu3,emu3/modeling_emu3.py,Emu3ForCausalLM;Emu3ForConditionalGeneration;Emu3Model;Emu3PreTrainedModel;Emu3TextModel;Emu3VQVAE,multimodal,hybrid,partial,linear->tasks/baseline/L1/linear.py:Linear;rms_norm->tasks/baseline/L1/rms_norm.py:RMSNorm;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache->tasks/baseline/L1/store_kvcache.py:StoreKVCache;rotary_pos_emb->tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;conv3d->tasks/baseline/L1/conv3d.py:Conv3d;group_norm->tasks/baseline/L1/group_norm.py:GroupNorm;interpolate->tasks/baseline/L1/interpolate.py:Interpolate,"batch_norm_3d (VQVAE temporal residual blocks; only L1 kernel is BatchNorm2d, not 3D)",emu3/modeling_emu3.py:452;emu3/modeling_emu3.py:459;emu3/modeling_emu3.py:442,"Emu3 text decoder is Llama-style (composable). The Emu3VQVAE image tokenizer uses nn.BatchNorm3d (lines 452, 459) for temporal blocks; kb-nano L1 only covers BatchNorm2d — partial via torch.nn fallback."
encodec,encodec/modeling_encodec.py,EncodecModel;EncodecPreTrainedModel,audio,encoder-decoder,partial,conv1d->tasks/baseline/L1/conv1d.py:Conv1d;embedding->tasks/baseline/L1/embedding.py:Embedding;group_norm->tasks/baseline/L1/group_norm.py:GroupNorm;pad->tasks/baseline/L1/tensor_ops.py:Pad,conv_transpose1d (decoder upsampling; no L1 kernel);lstm (nn.LSTM in encoder/decoder; no L1 kernel),encodec/modeling_encodec.py:179;encodec/modeling_encodec.py:236;encodec/modeling_encodec.py:243,EnCodec audio codec uses nn.ConvTranspose1d (line 192 inside EncodecConvTranspose1d) and nn.LSTM (line 243 inside EncodecLSTM) in the inference path — both partial via torch.nn fallback.
encoder_decoder,encoder_decoder/modeling_encoder_decoder.py,EncoderDecoderModel,text,encoder-decoder,composable,linear->tasks/baseline/L1/linear.py:Linear,,encoder_decoder/modeling_encoder_decoder.py:65;encoder_decoder/modeling_encoder_decoder.py:170;encoder_decoder/modeling_encoder_decoder.py:46,Generic wrapper that delegates to two AutoModel instances (encoder + decoder). Coverage depends on the wrapped sub-models; the wrapper itself only adds a projection linear and shift_tokens_right. No new primitives.
eomt,eomt/modeling_eomt.py,EomtForUniversalSegmentation;EomtModel;EomtPreTrainedModel,segmentation,vision-encoder,partial,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;silu->tasks/baseline/L1/silu.py:SiLU;matmul->tasks/baseline/L1/linear.py:Matmul,conv_transpose2d (EomtScaleLayer upsampler; no L1 kernel),eomt/modeling_eomt.py:927;eomt/modeling_eomt.py:923;eomt/modeling_eomt.py:940,EomtScaleLayer uses nn.ConvTranspose2d (line 927) for scale upsampling in inference — partial. grid_sample appears at line 119 but only inside loss/matcher (training-only). Encoder + mask head otherwise composable.
eomt_dinov3,eomt_dinov3/modeling_eomt_dinov3.py,EomtDinov3ForUniversalSegmentation;EomtDinov3Model;EomtDinov3PreTrainedModel,segmentation,vision-encoder,partial,linear->tasks/baseline/L1/linear.py:Linear;layer_norm->tasks/baseline/L1/layer_norm.py:LayerNorm;conv2d->tasks/baseline/L1/conv2d.py:Conv2d;embedding->tasks/baseline/L1/embedding.py:Embedding;sdpa->tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate->tasks/baseline/L1/interpolate.py:Interpolate;rotary_pos_emb->tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;matmul->tasks/baseline/L1/linear.py:Matmul,conv_transpose2d (EomtDinov3ScaleLayer upsampler; no L1 kernel),eomt_dinov3/modeling_eomt_dinov3.py:1121;eomt_dinov3/modeling_eomt_dinov3.py:1117;eomt_dinov3/modeling_eomt_dinov3.py:501,DINOv3-backed eomt variant. EomtDinov3ScaleLayer uses nn.ConvTranspose2d (line 1121) in inference — partial. grid_sample at line 501 is in matcher (training-only).
