hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
afmoe,afmoe/modeling_afmoe.py,AfmoeRotaryEmbedding;AfmoeRMSNorm;AfmoeMLP;AfmoeTokenChoiceRouter;AfmoeExperts;AfmoeSparseMoeBlock;AfmoeAttention;AfmoeDecoderLayer;AfmoeModel;AfmoeForCausalLM,text,decoder-only,composable,AfmoeRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;AfmoeRMSNorm->tasks/baseline/L1/rms_norm.py;AfmoeMLP->tasks/baseline/L2/llama_mlp.py;AfmoeTokenChoiceRouter->tasks/baseline/L1/sigmoid_topk.py+tasks/baseline/L1/linear.py;AfmoeExperts->tasks/baseline/L1/moe_grouped_gemm.py;AfmoeSparseMoeBlock->tasks/baseline/L2/shared_expert_moe.py;AfmoeAttention->tasks/baseline/L2/attention.py;AfmoeDecoderLayer->composes;AfmoeModel->composes;AfmoeForCausalLM->composes,,afmoe/modular_afmoe.py:47;afmoe/modular_afmoe.py:51;afmoe/modular_afmoe.py:55;afmoe/modular_afmoe.py:59;afmoe/modular_afmoe.py:89;afmoe/modular_afmoe.py:93;afmoe/modular_afmoe.py:124;afmoe/modular_afmoe.py:193;afmoe/modular_afmoe.py:307;afmoe/modular_afmoe.py:396,"MoE decoder; ALL_ATTENTION_FUNCTIONS dispatcher (sdpa/flash/eager covered); standard rotary+RMSNorm; one_hot expert routing covered by L1 tensor_ops:OneHot. [v5 inheritance] AfmoeRotaryEmbedding(LlamaRotaryEmbedding), AfmoeRMSNorm(GptOssRMSNorm), AfmoeMLP(Qwen2MoeMLP), AfmoeExperts(Qwen2MoeExperts), AfmoeAttention(LlamaAttention)"
aimv2,aimv2/modeling_aimv2.py,Aimv2RMSNorm;Aimv2MLP;Aimv2VisionEmbeddings;Aimv2TextEmbeddings;Aimv2Attention;Aimv2EncoderLayer;Aimv2Encoder;Aimv2AttentionPoolingHead;Aimv2VisionModel;Aimv2TextModel;Aimv2Model,vision,vision-encoder,composable,Aimv2RMSNorm->tasks/baseline/L1/rms_norm.py;Aimv2MLP->tasks/baseline/L2/llama_mlp.py;Aimv2VisionEmbeddings->tasks/baseline/L1/conv2d.py+tasks/baseline/L1/embedding.py;Aimv2TextEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;Aimv2Attention->tasks/baseline/L2/siglip_attention.py;Aimv2EncoderLayer->composes;Aimv2Encoder->composes;Aimv2AttentionPoolingHead->tasks/baseline/L2/attention_pool.py;Aimv2VisionModel->composes;Aimv2TextModel->composes;Aimv2Model->composes,,aimv2/modular_aimv2.py:144;aimv2/modular_aimv2.py:148;aimv2/modular_aimv2.py:152;aimv2/modular_aimv2.py:204;aimv2/modular_aimv2.py:208;aimv2/modular_aimv2.py:217;aimv2/modular_aimv2.py:242;aimv2/modular_aimv2.py:246;aimv2/modular_aimv2.py:320;aimv2/modular_aimv2.py:398;aimv2/modular_aimv2.py:468,"ViT-style vision encoder with optional text encoder; modular_aimv2.py also exists. Standard primitives only. [v5 inheritance] Aimv2VisionConfig(SiglipVisionConfig), Aimv2TextConfig(SiglipTextConfig), Aimv2Config(SiglipConfig), Aimv2Output(SiglipOutput), Aimv2RMSNorm(LlamaRMSNorm)"
albert,albert/modeling_albert.py,AlbertEmbeddings;AlbertAttention;AlbertLayer;AlbertLayerGroup;AlbertTransformer;AlbertModel;AlbertForPreTraining;AlbertMLMHead;AlbertSOPHead;AlbertForMaskedLM;AlbertForSequenceClassification;AlbertForTokenClassification;AlbertForQuestionAnswering;AlbertForMultipleChoice,text,encoder,composable,AlbertEmbeddings->tasks/baseline/L2/encoder_embeddings.py;AlbertAttention->tasks/baseline/L2/encoder_attention.py;AlbertLayer->composes;AlbertLayerGroup->composes;AlbertTransformer->composes;AlbertModel->composes;AlbertForPreTraining->composes;AlbertMLMHead->composes;AlbertSOPHead->composes;AlbertForMaskedLM->composes;AlbertForSequenceClassification->composes;AlbertForTokenClassification->composes;AlbertForQuestionAnswering->composes;AlbertForMultipleChoice->composes,,albert/modeling_albert.py:49;albert/modeling_albert.py:142;albert/modeling_albert.py:207;albert/modeling_albert.py:245;albert/modeling_albert.py:262;albert/modeling_albert.py:352;albert/modeling_albert.py:432;albert/modeling_albert.py:527;albert/modeling_albert.py:548;albert/modeling_albert.py:562;albert/modeling_albert.py:666;albert/modeling_albert.py:744;albert/modeling_albert.py:806;albert/modeling_albert.py:874,BERT-style encoder with weight sharing; ALL_ATTENTION_FUNCTIONS dispatcher; ACT2FN dynamic (gelu/silu/relu all covered).
align,align/modeling_align.py,AlignVisionEmbeddings;AlignVisionDepthwiseConv2d;AlignVisionExpansionLayer;AlignVisionDepthwiseLayer;AlignVisionSqueezeExciteLayer;AlignVisionFinalBlockLayer;AlignVisionBlock;AlignVisionEncoder;AlignTextEmbeddings;AlignTextSelfAttention;AlignTextAttention;AlignTextIntermediate;AlignTextLayer;AlignTextEncoder;AlignTextPooler;AlignTextModel;AlignVisionModel;AlignModel,multimodal,other,composable,AlignVisionEmbeddings->tasks/baseline/L1/conv2d.py+tasks/baseline/L1/embedding.py;AlignVisionDepthwiseConv2d->tasks/baseline/L1/conv2d.py;AlignVisionExpansionLayer->composes;AlignVisionDepthwiseLayer->composes;AlignVisionSqueezeExciteLayer->composes;AlignVisionFinalBlockLayer->composes;AlignVisionBlock->composes;AlignVisionEncoder->composes;AlignTextEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;AlignTextSelfAttention->tasks/baseline/L2/encoder_attention.py;AlignTextAttention->composes;AlignTextIntermediate->tasks/baseline/L2/encoder_mlp.py;AlignTextLayer->composes;AlignTextEncoder->composes;AlignTextPooler->composes;AlignTextModel->composes;AlignVisionModel->composes;AlignModel->composes,,align/modeling_align.py:167;align/modeling_align.py:193;align/modeling_align.py:220;align/modeling_align.py:247;align/modeling_align.py:287;align/modeling_align.py:326;align/modeling_align.py:359;align/modeling_align.py:440;align/modeling_align.py:505;align/modeling_align.py:587;align/modeling_align.py:656;align/modeling_align.py:679;align/modeling_align.py:709;align/modeling_align.py:742;align/modeling_align.py:768;align/modeling_align.py:824;align/modeling_align.py:927;align/modeling_align.py:1004,ALIGN dual-encoder (EfficientNet vision tower + BERT text tower). EfficientNet head uses nn.AdaptiveAvgPool2d (covered by tasks/baseline/L1/adaptive_avg_pool2d.py:AdaptiveAvgPool2d). Otherwise composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['adaptive_avg_pool_2d'] [v5 inheritance] AlignVisionDepthwiseConv2d(Conv2d)
altclip,altclip/modeling_altclip.py,AltRobertaEmbeddings;AltRobertaSelfAttention;AltRobertaAttention;AltRobertaIntermediate;AltRobertaLayer;AltRobertaEncoder;AltRobertaPooler;AltCLIPAttention;AltCLIPMLP;AltCLIPEncoderLayer;AltCLIPEncoder;AltCLIPVisionEmbeddings;AltCLIPVisionModel;AltRobertaModel;AltCLIPTextModel;AltCLIPModel,multimodal,other,composable,AltRobertaEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;AltRobertaSelfAttention->tasks/baseline/L2/encoder_attention.py;AltRobertaAttention->composes;AltRobertaIntermediate->tasks/baseline/L2/encoder_mlp.py;AltRobertaLayer->composes;AltRobertaEncoder->composes;AltRobertaPooler->composes;AltCLIPAttention->composes;AltCLIPMLP->tasks/baseline/L2/clip_mlp.py;AltCLIPEncoderLayer->composes;AltCLIPEncoder->composes;AltCLIPVisionEmbeddings->tasks/baseline/L1/conv2d.py+tasks/baseline/L1/embedding.py;AltCLIPVisionModel->composes;AltRobertaModel->composes;AltCLIPTextModel->composes;AltCLIPModel->composes,,altclip/modular_altclip.py:152;altclip/modular_altclip.py:156;altclip/modular_altclip.py:166;altclip/modular_altclip.py:173;altclip/modular_altclip.py:181;altclip/modular_altclip.py:189;altclip/modular_altclip.py:203;altclip/modular_altclip.py:207;altclip/modular_altclip.py:211;altclip/modular_altclip.py:215;altclip/modular_altclip.py:220;altclip/modular_altclip.py:224;altclip/modular_altclip.py:281;altclip/modular_altclip.py:317;altclip/modular_altclip.py:396;altclip/modular_altclip.py:465,"CLIP-style dual encoder with multilingual XLM-R text tower. Standard ViT+encoder primitives. [v5 inheritance] AltCLIPTextConfig(CLIPTextConfig), AltCLIPVisionConfig(CLIPVisionConfig), AltCLIPConfig(CLIPConfig), AltCLIPOutput(CLIPOutput), AltRobertaEmbeddings(RobertaEmbeddings)"
apertus,apertus/modeling_apertus.py,ApertusMLP;ApertusRMSNorm;ApertusRotaryEmbedding;ApertusAttention;ApertusDecoderLayer;ApertusModel;ApertusForCausalLM;ApertusForTokenClassification,text,decoder-only,composable,ApertusMLP->tasks/baseline/L2/llama_mlp.py;ApertusRMSNorm->tasks/baseline/L1/rms_norm.py;ApertusRotaryEmbedding->tasks/baseline/L1/rotary_emb.py;ApertusAttention->tasks/baseline/L2/attention.py;ApertusDecoderLayer->tasks/baseline/L3/llama_decoder.py;ApertusModel->composes;ApertusForCausalLM->composes;ApertusForTokenClassification->composes,,apertus/modular_apertus.py:117;apertus/modular_apertus.py:126;apertus/modular_apertus.py:130;apertus/modular_apertus.py:134;apertus/modular_apertus.py:183;apertus/modular_apertus.py:227;apertus/modular_apertus.py:231;apertus/modular_apertus.py:258,"Llama-like decoder; ALL_ATTENTION_FUNCTIONS dispatcher; modular_apertus.py exists. [v5 inheritance] ApertusConfig(PreTrainedConfig), ApertusMLP(NemotronMLP), ApertusRMSNorm(LlamaRMSNorm), ApertusRotaryEmbedding(LlamaRotaryEmbedding), ApertusAttention(LlamaAttention)"
arcee,arcee/modeling_arcee.py,ArceeMLP;ArceeForCausalLM;ArceeForSequenceClassification;ArceeForQuestionAnswering;ArceeForTokenClassification,text,decoder-only,composable,ArceeMLP->tasks/baseline/L2/llama_mlp.py;ArceeForCausalLM->composes;ArceeForSequenceClassification->composes;ArceeForQuestionAnswering->composes;ArceeForTokenClassification->composes,,arcee/modular_arcee.py:85;arcee/modular_arcee.py:90;arcee/modular_arcee.py:95;arcee/modular_arcee.py:100;arcee/modular_arcee.py:105,"Llama-like decoder with ReLU^2-style MLP. modular_arcee.py exists. [v5 inheritance] ArceeConfig(LlamaConfig), ArceeMLP(NemotronMLP), ArceeForCausalLM(LlamaForCausalLM), ArceeForSequenceClassification(LlamaForSequenceClassification), ArceeForQuestionAnswering(LlamaForQuestionAnswering)"
aria,aria/modeling_aria.py,AriaTextRMSNorm;AriaProjectorMLP;AriaCrossAttention;AriaProjector;AriaImageProcessorKwargs;AriaImageProcessor;AriaImagesKwargs;AriaProcessorKwargs;AriaSharedExpertsMLP;AriaGroupedExpertsGemm;AriaExperts;AriaTextMoELayer;AriaTextAttention;AriaTextDecoderLayer;AriaTextModel;AriaTextForCausalLM;AriaModel;AriaForConditionalGeneration,multimodal,other,composable,AriaTextRMSNorm->tasks/baseline/L1/rms_norm.py;AriaProjectorMLP->tasks/baseline/L2/llama_mlp.py;AriaCrossAttention->tasks/baseline/L2/attention.py;AriaProjector->composes;AriaImageProcessorKwargs->composes;AriaImageProcessor->composes;AriaImagesKwargs->composes;AriaProcessorKwargs->composes;AriaSharedExpertsMLP->tasks/baseline/L2/llama_mlp.py;AriaGroupedExpertsGemm->composes;AriaExperts->tasks/baseline/L1/moe_grouped_gemm.py;AriaTextMoELayer->composes;AriaTextAttention->tasks/baseline/L2/attention.py;AriaTextDecoderLayer->tasks/baseline/L3/llama_decoder.py;AriaTextModel->composes;AriaTextForCausalLM->composes;AriaModel->composes;AriaForConditionalGeneration->composes,,aria/modular_aria.py:176;aria/modular_aria.py:180;aria/modular_aria.py:205;aria/modular_aria.py:260;aria/modular_aria.py:325;aria/modular_aria.py:344;aria/modular_aria.py:520;aria/modular_aria.py:541;aria/modular_aria.py:669;aria/modular_aria.py:685;aria/modular_aria.py:729;aria/modular_aria.py:773;aria/modular_aria.py:790;aria/modular_aria.py:794;aria/modular_aria.py:849;aria/modular_aria.py:859;aria/modular_aria.py:884;aria/modular_aria.py:986,"Aria MoE multimodal LLM. AriaCrossAttention uses nn.MultiheadAttention (line 116) for the vision-language projector rest is Llama+MoE composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['multihead_attention'] [v5 inheritance] AriaTextConfig(LlamaConfig), AriaConfig(PreTrainedConfig), AriaTextRMSNorm(LlamaRMSNorm), AriaImageProcessorKwargs(ImagesKwargs), AriaImageProcessor(TorchvisionBackend)"
audio_spectrogram_transformer,audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py,ASTEmbeddings;ASTPatchEmbeddings;ASTSelfAttention;ASTAttention;ASTIntermediate;ASTLayer;ASTEncoder;ASTModel;ASTMLPHead;ASTForAudioClassification,audio,encoder,composable,ASTEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ASTPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ASTSelfAttention->tasks/baseline/L2/encoder_attention.py;ASTAttention->composes;ASTIntermediate->tasks/baseline/L2/encoder_mlp.py;ASTLayer->composes;ASTEncoder->composes;ASTModel->composes;ASTMLPHead->composes;ASTForAudioClassification->composes,,audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:36;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:75;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:129;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:203;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:220;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:250;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:285;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:336;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:385;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:403,"ViT applied to audio spectrograms; standard ViT primitives. modular_audio_spectrogram_transformer.py exists. [v5 inheritance] ASTModel(ASTPreTrainedModel), ASTForAudioClassification(ASTPreTrainedModel)"
audioflamingo3,audioflamingo3/modeling_audioflamingo3.py,AudioFlamingo3Attention;AudioFlamingo3EncoderLayer;AudioFlamingo3Encoder;AudioFlamingo3MultiModalProjector;AudioFlamingo3ForConditionalGeneration,multimodal,other,composable,AudioFlamingo3Attention->tasks/baseline/L2/whisper_attention.py;AudioFlamingo3EncoderLayer->composes;AudioFlamingo3Encoder->composes;AudioFlamingo3MultiModalProjector->composes;AudioFlamingo3ForConditionalGeneration->composes,,audioflamingo3/modular_audioflamingo3.py:39;audioflamingo3/modular_audioflamingo3.py:43;audioflamingo3/modular_audioflamingo3.py:56;audioflamingo3/modular_audioflamingo3.py:122;audioflamingo3/modular_audioflamingo3.py:144,"Whisper-style audio encoder + Qwen-like text decoder. Audio projector uses nn.AvgPool1d (line 299) Otherwise composable. modular_audioflamingo3.py exists. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['avg_pool_1d'] [v5 inheritance] AudioFlamingo3Attention(WhisperAttention), AudioFlamingo3EncoderLayer(WhisperEncoderLayer), AudioFlamingo3PreTrainedModel(Qwen2AudioPreTrainedModel), AudioFlamingo3Encoder(Qwen2AudioEncoder), AudioFlamingo3MultiModalProjector(VoxtralMultiModalProjector)"
