hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
bert,bert/modeling_bert.py,BertModel;BertForMaskedLM;BertLMHeadModel;BertForPreTraining;BertForSequenceClassification;BertForTokenClassification;BertForQuestionAnswering;BertForMultipleChoice;BertForNextSentencePrediction;BertPreTrainedModel,text,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;embedding→tasks/baseline/L1/embedding.py:Embedding;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;softmax→tasks/baseline/L1/softmax.py:Softmax;matmul→tasks/baseline/L1/linear.py:Matmul;dropout→tasks/baseline/L1/dropout.py:Dropout;tanh→tasks/baseline/L1/tanh.py:Tanh;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,bert/modeling_bert.py:240;bert/modeling_bert.py:309;bert/modeling_bert.py:650,EncoderDecoderCache for BertLMHeadModel decoder mode is composed from 2x DynamicCache (verified at modeling_bert.py:650). BERT has no L4 in kb-nano; closest is L3 bert_encoder.py.
llama,llama/modeling_llama.py,LlamaModel;LlamaForCausalLM;LlamaForSequenceClassification;LlamaForTokenClassification;LlamaForQuestionAnswering;LlamaPreTrainedModel,text,decoder-only,kb_nano_l4,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;embedding→tasks/baseline/L1/embedding.py:Embedding;silu→tasks/baseline/L1/silu.py:SiLU;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;flash_attention→tasks/baseline/L1/flash_attn_prefill.py:FlashAttnPrefill;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,llama/modeling_llama.py:53;llama/modeling_llama.py:177;llama/modeling_llama.py:267,L4 pipeline at tasks/baseline/L4/llama.py.
mistral,mistral/modeling_mistral.py,MistralModel;MistralForCausalLM;MistralForSequenceClassification;MistralForTokenClassification;MistralForQuestionAnswering;MistralPreTrainedModel,text,decoder-only,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;embedding→tasks/baseline/L1/embedding.py:Embedding;silu→tasks/baseline/L1/silu.py:SiLU;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,mistral/modeling_mistral.py:17;mistral/modeling_mistral.py:172;mistral/modeling_mistral.py:372,Sliding-window attention is mask construction (HF masking_utils.create_sliding_window_causal_mask); kb-nano attention kernels accept the mask tensor unchanged. Modular DSL file modular_mistral.py exists; modeling_mistral.py is the runtime artifact.
whisper,whisper/modeling_whisper.py,WhisperModel;WhisperEncoder;WhisperDecoder;WhisperForConditionalGeneration;WhisperForCausalLM;WhisperForAudioClassification;WhisperPreTrainedModel,audio,encoder-decoder,kb_nano_l4,conv1d→tasks/baseline/L1/conv1d.py:Conv1d;linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;gelu→tasks/baseline/L1/gelu.py:GELU;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,whisper/modeling_whisper.py:230;whisper/modeling_whisper.py:296;whisper/modeling_whisper.py:340,L4 pipeline at tasks/baseline/L4/whisper.py. EncoderDecoderCache wrapping handled inside L4.
vit,vit/modeling_vit.py,ViTModel;ViTForImageClassification;ViTForMaskedImageModeling;ViTPreTrainedModel,vision,vision-encoder,composable,conv2d→tasks/baseline/L1/conv2d.py:Conv2d;linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;dropout→tasks/baseline/L1/dropout.py:Dropout;gelu→tasks/baseline/L1/gelu.py:GELU;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;interpolate→tasks/baseline/L1/interpolate.py:Interpolate,,vit/modeling_vit.py:90;vit/modeling_vit.py:140;vit/modeling_vit.py:200,No L4 vit pipeline but DINOv3/SigLIP2 are vision transformers using the same primitive set; ViT is wiring with existing L1/L2/L3 (vit_encoder_block.py).
swin,swin/modeling_swin.py,SwinModel;SwinForImageClassification;SwinForMaskedImageModeling;SwinBackbone;SwinPreTrainedModel,vision,vision-encoder,composable,conv2d→tasks/baseline/L1/conv2d.py:Conv2d;linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;dropout→tasks/baseline/L1/dropout.py:Dropout;pad→tasks/baseline/L1/tensor_ops.py:Pad;interpolate→tasks/baseline/L1/interpolate.py:Interpolate,adaptive_avg_pool_1d(no L1 kernel; classifier head uses torch.nn fallback consistent with kb-nano convention),swin/modeling_swin.py:540;swin/modeling_swin.py:680;swin/modeling_swin.py:1140,SwinV2 has L4 (swinv2.py); v1 reuses same building blocks. Adaptive avg pool 1d is head-only; same convention as kb-nano mobilenetv4/yolov10.
mamba,mamba/modeling_mamba.py,MambaModel;MambaForCausalLM;MambaPreTrainedModel,text,SSM,kb_nano_l4,linear→tasks/baseline/L1/linear.py:Linear;embedding→tasks/baseline/L1/embedding.py:Embedding;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;silu→tasks/baseline/L1/silu.py:SiLU;causal_conv1d→tasks/baseline/L2/mamba_mixer.py(via vLLM ops);selective_scan→tasks/baseline/L2/mamba_mixer.py(via vLLM ops),,mamba/modeling_mamba.py:130;mamba/modeling_mamba.py:175,L4 pipeline at tasks/baseline/L4/mamba.py. selective_scan and causal_conv1d come from vLLM imports in tasks/baseline/L2/mamba_mixer.py:35-44.
qwen2_vl,qwen2_vl/modeling_qwen2_vl.py,Qwen2VLForConditionalGeneration;Qwen2VLModel;Qwen2VLTextModel;Qwen2VisionTransformerPretrainedModel;Qwen2VLPreTrainedModel,multimodal,hybrid,kb_nano_l4,conv3d→tasks/baseline/L1/conv3d.py:Conv3d;linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb_mrope→tasks/baseline/L1/mrope.py:MRotaryEmbedding;rotary_pos_emb_vision→tasks/baseline/L1/vision_rotary_emb.py:VisionRotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache,,qwen2_vl/modeling_qwen2_vl.py:200;qwen2_vl/modeling_qwen2_vl.py:600;qwen2_vl/modeling_qwen2_vl.py:1100,L4 pipeline at tasks/baseline/L4/qwen2_vl.py.
rt_detr,rt_detr/modeling_rt_detr.py,RTDetrModel;RTDetrForObjectDetection;RTDetrEncoder;RTDetrHybridEncoder;RTDetrDecoder;RTDetrPreTrainedModel,detection,hybrid,composable,conv2d→tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d→tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;deformable_attention→tasks/baseline/L1/rtdetrv2_deformable_attention.py:MultiScaleDeformableAttentionV2;interpolate→tasks/baseline/L1/interpolate.py:Interpolate,,rt_detr/modeling_rt_detr.py:170;rt_detr/modeling_rt_detr.py:870;rt_detr/modeling_rt_detr.py:480,RT-DETR (v1) reuses kb-nano v2 deformable attention with method=default which is bit-equivalent.
rt_detr,rt_detr/modeling_rt_detr_resnet.py,RTDetrResNetBackbone;RTDetrResNetPreTrainedModel,vision,vision-encoder,composable,conv2d→tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d→tasks/baseline/L1/batch_norm2d.py:BatchNorm2d;relu→tasks/baseline/L1/relu.py:ReLU;max_pool_2d→tasks/baseline/L1/max_pool2d.py:MaxPool2d;avg_pool_2d→tasks/baseline/L1/avg_pool2d.py:AvgPool2d,,rt_detr/modeling_rt_detr_resnet.py:50;rt_detr/modeling_rt_detr_resnet.py:120,Standard ResNet backbone; all ops in L1.
