hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
afmoe,afmoe/modeling_afmoe.py,AfmoeForCausalLM;AfmoeModel;AfmoePreTrainedModel,text,decoder-only,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;embedding→tasks/baseline/L1/embedding.py:Embedding;silu→tasks/baseline/L1/silu.py:SiLU,,afmoe/modeling_afmoe.py:141;afmoe/modeling_afmoe.py:566;afmoe/modeling_afmoe.py:280,MoE decoder; ALL_ATTENTION_FUNCTIONS dispatcher (sdpa/flash/eager covered); standard rotary+RMSNorm; one_hot expert routing covered by L1 tensor_ops:OneHot.
aimv2,aimv2/modeling_aimv2.py,Aimv2Model;Aimv2PreTrainedModel;Aimv2TextModel;Aimv2VisionModel,vision,vision-encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;silu→tasks/baseline/L1/silu.py:SiLU,,aimv2/modeling_aimv2.py:106;aimv2/modeling_aimv2.py:373;aimv2/modeling_aimv2.py:173,ViT-style vision encoder with optional text encoder; modular_aimv2.py also exists. Standard primitives only.
albert,albert/modeling_albert.py,AlbertForMaskedLM;AlbertForMultipleChoice;AlbertForPreTraining;AlbertForQuestionAnswering;AlbertForSequenceClassification;AlbertForTokenClassification;AlbertModel;AlbertPreTrainedModel,text,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;dropout→tasks/baseline/L1/dropout.py:Dropout;tanh→tasks/baseline/L1/tanh.py:Tanh;matmul→tasks/baseline/L1/linear.py:Matmul,,albert/modeling_albert.py:161;albert/modeling_albert.py:56;albert/modeling_albert.py:60,BERT-style encoder with weight sharing; ALL_ATTENTION_FUNCTIONS dispatcher; ACT2FN dynamic (gelu/silu/relu all covered).
align,align/modeling_align.py,AlignModel;AlignPreTrainedModel;AlignTextModel;AlignVisionModel,multimodal,other,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;batch_norm_2d→tasks/baseline/L1/batch_norm2d.py:BatchNorm2d,,align/modeling_align.py:297;align/modeling_align.py:601;align/modeling_align.py:510,ALIGN dual-encoder (EfficientNet vision tower + BERT text tower). EfficientNet head uses nn.AdaptiveAvgPool2d (covered by tasks/baseline/L1/adaptive_avg_pool2d.py:AdaptiveAvgPool2d). Otherwise composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['adaptive_avg_pool_2d']
altclip,altclip/modeling_altclip.py,AltCLIPModel;AltCLIPPreTrainedModel;AltCLIPTextModel;AltCLIPVisionModel;AltRobertaModel,multimodal,other,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;quick_gelu→tasks/baseline/L1/quickgelu.py:QuickGELU,,altclip/modeling_altclip.py:217;altclip/modeling_altclip.py:80;altclip/modeling_altclip.py:555,CLIP-style dual encoder with multilingual XLM-R text tower. Standard ViT+encoder primitives.
apertus,apertus/modeling_apertus.py,ApertusForCausalLM;ApertusForTokenClassification;ApertusModel;ApertusPreTrainedModel,text,decoder-only,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;embedding→tasks/baseline/L1/embedding.py:Embedding,,apertus/modeling_apertus.py:49;apertus/modeling_apertus.py:386;apertus/modeling_apertus.py:262,Llama-like decoder; ALL_ATTENTION_FUNCTIONS dispatcher; modular_apertus.py exists.
arcee,arcee/modeling_arcee.py,ArceeForCausalLM;ArceeForQuestionAnswering;ArceeForSequenceClassification;ArceeForTokenClassification;ArceeModel;ArceePreTrainedModel,text,decoder-only,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;embedding→tasks/baseline/L1/embedding.py:Embedding;relu→tasks/baseline/L1/relu.py:ReLU,,arcee/modeling_arcee.py:56;arcee/modeling_arcee.py:388;arcee/modeling_arcee.py:263,Llama-like decoder with ReLU^2-style MLP. modular_arcee.py exists.
aria,aria/modeling_aria.py,AriaForConditionalGeneration;AriaModel;AriaPreTrainedModel;AriaTextForCausalLM;AriaTextModel;AriaTextPreTrainedModel,multimodal,other,composable,linear→tasks/baseline/L1/linear.py:Linear;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;kv_cache→tasks/baseline/L1/store_kvcache.py:StoreKVCache;embedding→tasks/baseline/L1/embedding.py:Embedding;moe_topk→tasks/baseline/L1/grouped_topk.py:GroupedTopK;moe_grouped_gemm→tasks/baseline/L1/moe_grouped_gemm.py:MoeGroupedGemm,,aria/modeling_aria.py:116;aria/modeling_aria.py:87;aria/modeling_aria.py:722,Aria MoE multimodal LLM. AriaCrossAttention uses nn.MultiheadAttention (line 116) for the vision-language projector rest is Llama+MoE composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['multihead_attention']
audio_spectrogram_transformer,audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py,ASTForAudioClassification;ASTModel;ASTPreTrainedModel,audio,encoder,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;conv2d→tasks/baseline/L1/conv2d.py:Conv2d;gelu→tasks/baseline/L1/gelu.py:GELU,,audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:146;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:88;audio_spectrogram_transformer/modeling_audio_spectrogram_transformer.py:260,ViT applied to audio spectrograms; standard ViT primitives. modular_audio_spectrogram_transformer.py exists.
audioflamingo3,audioflamingo3/modeling_audioflamingo3.py,AudioFlamingo3Encoder;AudioFlamingo3ForConditionalGeneration;AudioFlamingo3PreTrainedModel,multimodal,other,composable,linear→tasks/baseline/L1/linear.py:Linear;layer_norm→tasks/baseline/L1/layer_norm.py:LayerNorm;embedding→tasks/baseline/L1/embedding.py:Embedding;sdpa→tasks/baseline/L1/dense_attention.py:DenseAttention;conv1d→tasks/baseline/L1/conv1d.py:Conv1d;rms_norm→tasks/baseline/L1/rms_norm.py:RMSNorm;rotary_pos_emb→tasks/baseline/L1/rotary_emb.py:RotaryEmbedding,,audioflamingo3/modeling_audioflamingo3.py:299;audioflamingo3/modeling_audioflamingo3.py:111;audioflamingo3/modeling_audioflamingo3.py:293,Whisper-style audio encoder + Qwen-like text decoder. Audio projector uses nn.AvgPool1d (line 299) Otherwise composable. modular_audioflamingo3.py exists. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['avg_pool_1d']
